46, -56, 27
47, -62, 26
51, -51, 26
56, -48, 24
51, -40, 16
53, -49, 30
57, -45, 12
39, -47, 48
57, -45, 12
50, -38, 20
60, -46, 28
53, -40, 16
58, -43, 17
57, -48, 10
56, -36, 24
56, -36, 24
55, -53, 4
46, -55, 17
44, -46, 19
50, -36, 28
50, -48, 26
51, -51, 26
54, -48, 30
58, -38, 14
56, -52, 16
55, -49, 15
60, -48, 32
59, -50, 6
54, -51, 28
55, -53, 27
57, -47, 26
55, -48, 8
54, -45, 8
59, -45, 27
59, -46, 15
56, -36, 16
57, -58, 41
55, -44, 24
51, -49, 28
45, -49, 42
53, -39, 40
52, -49, 17
52, -8, 14
46, -45, 26
45, -66, 17
59, -47, 24
56, -55, 17
58, -57, 18
65, -42, 12
