57, -36, 21
56, -52, 16
53, -49, 19
40, -58, 20
58, -62, 22
55, -50, 19
60, -56, 12
51, -44, 45
48, -66, 39
49, -65, 10
51, -43, 14
57, -38, 4
42, -50, 24
46, -56, 26
42, -59, 27
51, -51, 25
53, -51, 19
53, -53, 23
50, -40, 19
51, -42, 21
53, -48, 27
52, -46, 14
48, -42, 19
53, -54, 28
48, -52, 34
42, -52, 16
48, -55, 27
40, -55, 32
44, -66, 36
31, -76, 33
50, -55, 28
52, -52, 18
56, -54, 19
53, -51, 25
59, -53, 32
53, -46, 19
44, -75, 20
58, -56, 12
56, -49, 13
50, -40, 13
58, -56, 16
61, -53, 23
